migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
TZ,ZA,2022.0,8,4,4
MY,OM,2012.0,3,3,0
NL,KR,2011.0,7,8,-1
MA,PT,2015.0,8,6,2
JP,MX,2006.0,9,4,5
BJ,NG,2008.0,2,4,-2
BG,JP,2012.0,3,2,1
BN,GB,2005.0,1,3,-2
HU,NL,2022.0,8,4,4
CH,PL,2015.0,40,30,10
ES,MA,2015.0,20,6,14
IL,CH,2013.0,21,15,6
AR,DK,2008.0,2,2,0
IL,AT,2011.0,5,5,0
CO,DK,2017.0,3,2,1
HK,NL,2022.0,7,17,-10
AT,FI,2018.0,13,18,-5
EC,CO,2010.0,6,8,-2
MX,CN,2014.0,8,10,-2
MX,HU,2018.0,3,3,0
AE,LB,2013.0,5,2,3
IT,UA,2001.0,12,2,10
IR,KZ,2022.0,5,2,3
CY,TR,2012.0,20,39,-19
BO,US,2020.0,10,8,2
IL,nan,2005.0,14,11,3
LY,AU,2009.0,1,1,0
HR,SI,2006.0,12,7,5
LU,ES,2013.0,1,8,-7
NZ,IE,2020.0,15,19,-4
CN,nan,2001.0,29,30,-1
NG,TN,2015.0,1,4,-3
RS,AT,2008.0,8,5,3
KR,PT,2007.0,1,1,0
PH,CO,2003.0,1,1,0
CA,CO,2007.0,6,11,-5
NG,UG,2007.0,1,1,0
PL,EG,1999.0,1,1,0
PE,ID,2020.0,7,3,4
GB,IS,1999.0,3,1,2
SE,HU,2008.0,15,11,4
SE,AU,2005.0,33,25,8
JO,AE,2015.0,14,6,8
GF,FR,2012.0,4,17,-13
BR,BE,2023.0,6,2,4
CZ,MX,2018.0,4,5,-1
IE,JP,2008.0,15,32,-17
LK,CA,2010.0,4,1,3
TW,AE,2015.0,3,1,2
BR,JP,1998.0,18,14,4
CH,TN,2015.0,10,8,2
NO,PT,2019.0,10,4,6
CU,IT,2011.0,4,2,2
CH,SG,2011.0,17,9,8
IQ,PK,2017.0,14,17,-3
BF,PK,2017.0,1,1,0
BE,TR,2002.0,2,4,-2
AU,AT,1999.0,6,7,-1
BD,HU,2014.0,2,1,1
TH,BE,2016.0,6,7,-1
GB,BW,2014.0,5,3,2
NO,CH,2011.0,13,11,2
SE,MX,2015.0,11,9,2
OM,EG,2019.0,10,14,-4
MY,AE,2016.0,26,9,17
CO,DK,2019.0,4,4,0
nan,DZ,2015.0,10,8,2
SE,LV,2018.0,6,3,3
IL,NO,2008.0,4,1,3
MN,US,2016.0,4,4,0
IS,NO,2021.0,10,7,3
NL,ES,1997.0,18,16,2
SY,CN,2004.0,5,7,-2
KE,TW,2000.0,1,1,0
BW,ZW,2019.0,6,3,3
OM,EG,2017.0,19,9,10
FI,RS,2016.0,1,1,0
AE,SE,2021.0,6,5,1
DE,CR,2013.0,7,5,2
CH,MY,2022.0,2,1,1
EC,BO,2021.0,4,1,3
CN,MA,2005.0,2,1,1
US,NE,2013.0,4,1,3
NI,GB,2016.0,3,2,1
CZ,BA,2014.0,2,1,1
NL,SK,2018.0,4,1,3
SA,CN,2011.0,1,19,-18
QA,KW,2013.0,2,1,1
YE,PK,2017.0,3,1,2
SK,FI,2004.0,3,6,-3
TR,KR,2019.0,11,10,1
QA,MY,2014.0,3,7,-4
RW,BE,2020.0,2,5,-3
HR,RO,2019.0,3,1,2
GB,BG,2021.0,9,8,1
CN,IL,1997.0,3,3,0
HU,SI,2022.0,1,1,0
BD,IN,1998.0,5,5,0
AT,NO,2010.0,10,9,1
DE,BG,2003.0,17,18,-1
MW,GB,2014.0,15,13,2
MD,RU,2020.0,9,6,3
MK,AU,2011.0,32,50,-18
UG,NG,2015.0,3,3,0
DZ,US,2005.0,5,5,0
JP,FI,1999.0,7,8,-1
HN,BR,2016.0,4,6,-2
ES,FI,2013.0,22,21,1
TH,NZ,2009.0,4,5,-1
GB,TT,2000.0,3,1,2
RU,LV,2011.0,14,16,-2
CA,MA,2015.0,21,13,8
US,KG,2019.0,8,4,4
AR,NL,2019.0,8,12,-4
CN,FI,2005.0,11,22,-11
RU,PT,1997.0,4,2,2
AE,QA,2022.0,3,11,-8
GB,PA,2012.0,7,1,6
MY,EG,1999.0,2,2,0
MY,RU,2012.0,7,6,1
UY,CA,2017.0,4,5,-1
ZM,IN,2019.0,1,2,-1
LT,US,2011.0,6,18,-12
US,BB,2019.0,1,2,-1
NO,IN,1997.0,17,13,4
BH,KE,2018.0,2,1,1
SE,CZ,2007.0,7,8,-1
ID,QA,2019.0,3,5,-2
MX,IL,2012.0,4,3,1
KE,NL,2019.0,11,12,-1
US,PE,2023.0,2,2,0
VN,IN,2016.0,4,3,1
IN,CL,2007.0,3,1,2
CL,AT,2008.0,1,1,0
BG,SE,2001.0,3,3,0
GR,LU,2018.0,5,2,3
AR,JP,2018.0,4,4,0
GB,SK,2008.0,12,31,-19
GH,IN,2001.0,2,1,1
CR,CA,2018.0,4,7,-3
GH,GB,2007.0,6,6,0
SA,SE,1999.0,1,1,0
DE,KZ,2016.0,6,1,5
MY,PT,2017.0,2,1,1
LK,CA,2019.0,6,12,-6
PS,SA,2018.0,6,4,2
AT,BE,2005.0,8,8,0
MT,GB,1999.0,3,3,0
BG,EG,2012.0,2,2,0
MZ,BE,2008.0,2,5,-3
IT,HK,2015.0,1,1,0
EG,TN,2009.0,6,6,0
AT,KR,2009.0,3,4,-1
DE,BF,2013.0,1,1,0
AR,PT,2015.0,13,16,-3
IN,PH,2001.0,3,6,-3
TT,CA,2007.0,2,1,1
MY,LK,2013.0,4,3,1
PK,ES,2009.0,2,2,0
IN,ZA,2002.0,5,11,-6
TR,KH,2020.0,7,3,4
SE,AR,2003.0,5,5,0
AO,ES,2020.0,2,1,1
PE,GB,2021.0,12,13,-1
ZA,JM,2008.0,3,1,2
CU,PY,2015.0,5,1,4
UY,FR,2012.0,6,7,-1
VE,PE,2004.0,6,2,4
MY,HK,2019.0,1,3,-2
CU,FR,2016.0,7,7,0
RU,RS,2002.0,1,5,-4
CA,MY,2000.0,4,3,1
NZ,GE,2007.0,2,1,1
CO,CH,2006.0,2,2,0
PT,TR,2020.0,3,7,-4
PA,SE,2012.0,2,1,1
CH,MX,2016.0,15,13,2
US,BN,2020.0,5,3,2
LB,MY,2015.0,1,1,0
PE,CO,2005.0,24,11,13
BR,nan,1998.0,6,6,0
TN,IQ,2021.0,4,3,1
IN,HU,2006.0,3,4,-1
NP,GB,2012.0,6,6,0
DK,JP,1998.0,8,8,0
CA,CY,2021.0,1,4,-3
FR,BE,2023.0,5,5,0
CZ,BE,2013.0,7,15,-8
DE,KE,2009.0,6,1,5
JO,US,1998.0,8,17,-9
JM,TT,2019.0,21,10,11
UA,IL,2012.0,5,2,3
nan,PE,2022.0,4,4,0
UY,CA,2019.0,2,3,-1
BO,CA,2015.0,2,1,1
SA,JO,2001.0,3,4,-1
NL,HK,2003.0,7,3,4
HR,CH,2017.0,8,5,3
GB,MU,2016.0,5,2,3
RU,LT,2005.0,6,5,1
LB,DE,2021.0,7,2,5
GB,JM,2003.0,5,2,3
PT,ZA,2019.0,5,4,1
JP,LT,2001.0,2,4,-2
CW,DE,2016.0,1,2,-1
OM,EG,2010.0,9,5,4
US,CU,2003.0,16,14,2
TG,FR,2010.0,6,1,5
SA,PL,2016.0,2,3,-1
HR,CH,2019.0,8,10,-2
ID,TN,2020.0,3,3,0
TZ,RW,2021.0,1,1,0
YE,EG,2022.0,5,10,-5
KG,RU,2018.0,3,7,-4
US,BB,2017.0,3,3,0
ID,PK,2008.0,1,1,0
GR,nan,2019.0,4,7,-3
JP,MY,2003.0,13,7,6
HU,NG,2013.0,3,6,-3
NL,CW,2006.0,9,5,4
MM,KR,2018.0,3,3,0
BJ,BE,2016.0,1,3,-2
IL,nan,2002.0,9,13,-4
NZ,SG,2013.0,8,9,-1
SI,AU,2013.0,4,4,0
FR,NE,2010.0,5,3,2
LK,FR,2010.0,5,1,4
KR,AU,2023.0,5,4,1
MM,US,2019.0,4,22,-18
PT,JP,2022.0,3,3,0
DE,PE,2009.0,5,2,3
AF,MX,2006.0,5,2,3
UA,LT,2020.0,4,1,3
EC,nan,2021.0,7,4,3
GE,KR,2006.0,2,1,1
RS,GR,2008.0,1,3,-2
RU,AR,2019.0,3,3,0
LK,FR,2019.0,4,3,1
DK,CA,2002.0,19,16,3
LB,AU,2008.0,1,1,0
NI,SE,2006.0,1,2,-1
MY,NZ,2009.0,7,6,1
JP,IL,2005.0,12,18,-6
IT,SM,2013.0,3,1,2
TH,KR,2016.0,18,13,5
PH,QA,2018.0,1,1,0
UA,DK,2019.0,2,1,1
MX,RO,2019.0,1,2,-1
BE,CM,2012.0,7,5,2
RU,RO,2014.0,4,7,-3
US,BI,2006.0,2,2,0
TH,AT,2014.0,2,5,-3
IL,SK,2011.0,1,2,-1
CZ,BG,2019.0,3,2,1
SG,MX,2017.0,4,2,2
GB,VG,2005.0,3,3,0
BA,MX,2009.0,2,5,-3
GR,AL,2019.0,1,1,0
EG,KR,2009.0,9,4,5
HR,DE,1998.0,4,8,-4
RU,MZ,2012.0,13,22,-9
JP,VN,2003.0,11,8,3
KR,TR,2011.0,2,9,-7
IS,GB,2000.0,3,3,0
IT,ME,2022.0,1,1,0
TG,CM,2015.0,3,1,2
CH,TZ,2022.0,3,5,-2
BW,NG,2009.0,1,5,-4
FR,UY,2012.0,7,6,1
KR,SE,2014.0,11,5,6
MY,AR,2018.0,2,5,-3
BE,VN,2001.0,2,1,1
EG,AT,2021.0,3,2,1
BD,CA,2010.0,17,18,-1
US,SD,2012.0,7,2,5
CO,nan,2021.0,6,4,2
TW,NL,2001.0,1,3,-2
BR,ZA,2000.0,2,6,-4
KR,AM,2012.0,2,4,-2
PT,CO,2015.0,13,23,-10
CA,PT,2003.0,9,12,-3
RO,MD,2014.0,3,9,-6
BG,IT,2016.0,8,14,-6
MY,NL,2021.0,7,7,0
IE,PT,2019.0,6,12,-6
SE,SK,2013.0,2,5,-3
SG,PH,2007.0,2,2,0
EE,DK,2014.0,2,3,-1
CU,VE,2012.0,5,14,-9
DZ,BI,2015.0,1,1,0
PK,SK,2019.0,1,2,-1
NL,BY,2003.0,1,3,-2
NL,SD,2001.0,2,1,1
CY,JP,2001.0,2,2,0
JP,LB,2019.0,2,1,1
GE,IN,2015.0,6,1,5
MZ,BR,2008.0,3,2,1
FR,GF,2002.0,9,4,5
AT,MY,2009.0,1,1,0
IE,SE,2009.0,6,13,-7
SA,SG,2012.0,2,4,-2
MX,IE,2009.0,4,3,1
MX,CZ,2004.0,2,1,1
SN,ML,2011.0,1,2,-1
BD,FR,2013.0,8,6,2
VG,US,2005.0,8,10,-2
IQ,PL,2019.0,1,6,-5
JP,PT,2014.0,4,2,2
PL,BE,2022.0,13,17,-4
EG,QA,2001.0,4,1,3
NL,CZ,2022.0,2,9,-7
IT,VN,2015.0,2,2,0
RO,RU,2021.0,4,4,0
PK,JP,2009.0,5,12,-7
JP,NP,2010.0,6,4,2
BE,UA,2018.0,5,5,0
RO,PL,2007.0,2,5,-3
NL,GA,2016.0,5,3,2
QA,IR,2019.0,8,9,-1
ID,UZ,2017.0,1,4,-3
JO,GB,2008.0,4,18,-14
GB,SD,2018.0,7,12,-5
KH,BE,2010.0,2,1,1
BH,EG,2021.0,11,3,8
PE,nan,2003.0,2,4,-2
IQ,IN,2014.0,4,7,-3
BE,SN,2020.0,3,1,2
LK,CA,2017.0,4,7,-3
CM,DE,2006.0,1,2,-1
EG,ES,2011.0,4,6,-2
GB,EE,2000.0,1,2,-1
GB,ML,2006.0,1,1,0
LU,AT,2022.0,3,2,1
NG,KR,2008.0,5,3,2
DK,HR,2019.0,1,2,-1
HU,IL,2000.0,1,2,-1
TW,DK,2020.0,2,2,0
AM,DE,1998.0,4,1,3
GE,NZ,2007.0,1,2,-1
SG,NO,2016.0,2,2,0
ST,PT,2009.0,2,1,1
NL,IL,1999.0,6,8,-2
OM,CA,2005.0,2,4,-2
NL,MW,2012.0,2,1,1
CR,DE,2017.0,7,8,-1
BO,VE,2006.0,1,1,0
US,LU,2007.0,9,12,-3
UY,PE,2011.0,2,3,-1
OM,TH,2009.0,1,1,0
GR,LK,2011.0,2,4,-2
TH,NL,2000.0,2,1,1
FR,ML,2008.0,2,5,-3
GB,SL,2012.0,1,1,0
KZ,IR,2019.0,5,2,3
RU,KG,2014.0,2,1,1
ID,FR,2016.0,16,33,-17
LY,US,2021.0,3,5,-2
CM,NG,2021.0,6,2,4
IL,ES,2012.0,7,10,-3
KH,FR,2007.0,4,4,0
FR,UA,2022.0,5,8,-3
DO,CL,2020.0,3,2,1
SG,CZ,2022.0,1,1,0
IR,CH,2006.0,5,2,3
ZA,MU,2014.0,1,2,-1
LK,AU,2005.0,5,3,2
JO,PS,2006.0,2,1,1
LK,SG,2008.0,1,1,0
US,BO,2001.0,4,4,0
NG,PK,2006.0,4,2,2
MA,LB,2016.0,1,2,-1
AT,DK,1999.0,4,1,3
AU,LK,2000.0,4,1,3
SE,BE,2007.0,15,14,1
PH,JP,1997.0,1,6,-5
KZ,AE,2021.0,1,1,0
UY,CA,2010.0,1,3,-2
QA,CA,2005.0,3,1,2
MM,US,2010.0,2,3,-1
CZ,FI,2008.0,3,4,-1
FI,AR,2012.0,1,2,-1
PT,RS,2020.0,3,1,2
JO,US,1997.0,4,10,-6
AR,CH,2007.0,8,5,3
AZ,RU,2001.0,3,4,-1
IN,HR,2015.0,1,1,0
JO,TN,2018.0,1,3,-2
AT,TW,2020.0,4,3,1
RS,BG,2016.0,4,2,2
ZM,AU,2021.0,1,2,-1
AR,ID,2014.0,3,6,-3
PY,CU,2000.0,3,2,1
DK,TR,2022.0,5,8,-3
VN,TH,2020.0,8,26,-18
PT,ZA,2010.0,1,4,-3
GN,CI,2022.0,2,3,-1
KR,EG,2005.0,1,1,0
PT,CZ,2007.0,3,3,0
RO,IR,2014.0,2,1,1
QA,JO,2022.0,8,11,-3
PL,NG,2021.0,2,4,-2
CH,AR,2022.0,4,14,-10
CU,CH,2011.0,3,3,0
CO,RO,2020.0,1,2,-1
CH,HU,2022.0,3,10,-7
SA,CO,2019.0,1,2,-1
US,KY,2020.0,2,1,1
RS,AU,2022.0,5,3,2
BG,UA,2013.0,5,8,-3
GR,MX,2021.0,1,1,0
IT,AL,2009.0,2,1,1
AU,NO,2003.0,1,10,-9
RU,PT,1998.0,1,1,0
AT,RO,2009.0,3,1,2
BY,PL,2016.0,6,2,4
SR,US,2017.0,1,1,0
ID,SE,2016.0,3,12,-9
DZ,GB,2016.0,3,10,-7
ZA,SY,2017.0,1,1,0
TN,BD,2020.0,2,4,-2
NO,GR,2013.0,3,7,-4
AE,AL,2018.0,1,1,0
LU,FI,2014.0,2,4,-2
US,SS,2006.0,1,1,0
ES,SV,2002.0,1,1,0
CW,BE,2005.0,2,1,1
BE,NZ,2021.0,5,3,2
EC,CL,2007.0,6,5,1
NC,FR,1999.0,4,8,-4
DE,MA,1998.0,3,2,1
BR,SN,2020.0,1,1,0
VE,DE,2003.0,3,6,-3
PL,AR,2017.0,1,5,-4
NL,SA,2023.0,1,2,-1
FR,SI,2010.0,11,6,5
DK,PL,2011.0,8,16,-8
nan,GH,2007.0,1,1,0
US,KG,2017.0,4,3,1
PS,MY,2016.0,1,7,-6
FI,IR,2006.0,3,2,1
EC,UY,2017.0,3,3,0
NL,UA,2020.0,3,5,-2
MX,UA,2020.0,2,1,1
BR,NZ,2007.0,3,6,-3
CN,KE,2005.0,2,2,0
AT,AU,2000.0,8,10,-2
SN,DE,2012.0,1,1,0
IT,KR,2004.0,3,2,1
ID,UZ,2010.0,1,2,-1
BH,AE,2011.0,2,2,0
EG,RU,2013.0,7,2,5
AT,IL,2008.0,7,3,4
DK,EE,2014.0,3,2,1
KE,NG,1999.0,2,1,1
ZA,GH,2011.0,2,2,0
XK,US,2009.0,2,1,1
FI,RO,1999.0,2,1,1
NC,US,2013.0,2,1,1
PT,AT,2003.0,3,2,1
CA,PS,2015.0,1,4,-3
PH,CL,2021.0,1,7,-6
CA,RE,2018.0,2,2,0
CA,BW,2020.0,2,1,1
US,BF,2012.0,2,2,0
PL,AU,2007.0,3,8,-5
KH,JP,2020.0,7,10,-3
GH,KE,1998.0,2,1,1
HK,PL,2022.0,1,1,0
DE,NG,2010.0,5,10,-5
ES,JO,2008.0,1,2,-1
CN,EC,2017.0,1,2,-1
NO,BE,2008.0,2,5,-3
PH,VN,2014.0,1,1,0
BY,IN,2013.0,2,6,-4
TN,DE,2010.0,2,4,-2
CD,IT,2018.0,1,2,-1
CL,IL,2008.0,1,1,0
GP,MA,2016.0,1,1,0
PE,CU,2003.0,2,1,1
OM,AU,2016.0,2,6,-4
UY,CU,2005.0,1,2,-1
CN,UZ,2003.0,2,1,1
UZ,FR,2009.0,3,1,2
IR,GB,1997.0,5,7,-2
RS,RU,2003.0,2,2,0
CR,DE,2010.0,3,1,2
BY,IT,2014.0,1,1,0
KH,BE,2017.0,3,2,1
SE,GR,2009.0,4,9,-5
BR,HN,2018.0,2,4,-2
BY,EC,2019.0,3,5,-2
GR,AL,2017.0,1,2,-1
TN,HU,2020.0,2,1,1
SL,JP,2019.0,1,1,0
UA,NL,2022.0,1,1,0
BF,PK,2010.0,1,1,0
ES,RS,2020.0,3,5,-2
NZ,TW,2022.0,2,2,0
DK,PH,2011.0,1,2,-1
QA,ET,2022.0,1,2,-1
EG,NL,2006.0,3,2,1
KE,CA,2022.0,3,6,-3
BG,AU,2017.0,3,1,2
IN,BJ,2021.0,2,2,0
ES,MZ,2017.0,2,3,-1
TR,CZ,2009.0,3,5,-2
MC,US,2008.0,2,1,1
CL,PY,2014.0,3,1,2
DE,LI,2018.0,6,2,4
TT,US,2003.0,6,2,4
ML,TG,2021.0,1,3,-2
NG,SA,2012.0,5,6,-1
CZ,BG,2017.0,1,3,-2
CH,SE,2023.0,2,3,-1
CL,nan,2020.0,2,9,-7
KR,IT,2002.0,2,4,-2
GT,GB,2020.0,3,1,2
ES,TH,2007.0,1,1,0
GB,KZ,2009.0,1,1,0
CH,SK,1998.0,1,2,-1
DE,TZ,2008.0,1,2,-1
MD,CH,2005.0,1,1,0
PK,KW,2021.0,1,8,-7
TH,PK,2012.0,2,1,1
MA,GB,2001.0,2,1,1
VE,FR,2022.0,1,2,-1
HN,CL,2018.0,3,4,-1
BD,IN,1997.0,4,1,3
GT,CO,2022.0,2,2,0
JM,IN,2009.0,2,1,1
ES,SV,2005.0,1,2,-1
IE,SG,2018.0,4,7,-3
ES,QA,2007.0,3,2,1
UZ,AZ,2018.0,1,1,0
UA,IN,2021.0,1,7,-6
QA,PS,2020.0,1,9,-8
LY,TN,2018.0,2,2,0
nan,AT,2022.0,3,1,2
PK,PH,2012.0,1,1,0
ES,AO,2006.0,2,4,-2
SM,IT,2012.0,1,2,-1
DE,CW,2004.0,1,2,-1
NZ,TH,2015.0,5,7,-2
HU,BA,2019.0,2,1,1
PS,DE,2021.0,1,2,-1
IE,CY,2021.0,2,2,0
NG,SE,2018.0,1,1,0
CA,LY,2013.0,2,2,0
NL,RS,2004.0,1,5,-4
BE,TR,2005.0,7,8,-1
NZ,PT,2014.0,3,4,-1
ZA,CL,2008.0,2,2,0
GE,CZ,2013.0,1,4,-3
TR,NO,2006.0,2,2,0
IL,BG,2007.0,1,1,0
ID,ZA,2012.0,4,1,3
nan,CZ,1998.0,1,5,-4
NA,US,2013.0,1,3,-2
NG,ID,2011.0,2,2,0
TR,AU,2003.0,6,2,4
NZ,MX,2019.0,3,5,-2
BG,AU,2010.0,1,2,-1
PH,CH,2001.0,2,1,1
JM,GB,2006.0,3,7,-4
PK,TR,2023.0,3,2,1
SY,NG,2022.0,1,1,0
SR,US,2019.0,1,1,0
PG,TN,2013.0,1,4,-3
ML,FR,2006.0,3,5,-2
IS,DE,2007.0,1,2,-1
SE,KE,2015.0,3,3,0
EE,AT,2000.0,1,3,-2
KE,IT,2005.0,1,1,0
CA,UA,2005.0,1,8,-7
KE,IN,2011.0,2,7,-5
GE,NL,2017.0,1,1,0
CO,JP,2021.0,8,14,-6
SV,MX,2021.0,2,2,0
PT,CU,2003.0,1,1,0
SA,OM,2005.0,3,2,1
CH,BF,2015.0,2,1,1
BG,FR,2001.0,5,8,-3
AE,NL,2016.0,4,7,-3
FR,PR,2000.0,1,1,0
MM,JP,2006.0,1,2,-1
PK,GR,2015.0,6,2,4
PL,IN,2006.0,1,7,-6
PE,CA,2001.0,1,2,-1
GN,CA,2020.0,2,1,1
PE,VN,2020.0,1,1,0
BE,DK,2011.0,20,13,7
DE,DK,2013.0,163,130,33
CL,US,2016.0,223,292,-69
FR,CA,1999.0,232,209,23
CL,ES,2023.0,14,6,8
NL,IT,2001.0,52,52,0
PK,MY,2014.0,54,76,-22
CA,VN,2018.0,14,14,0
US,NL,1999.0,298,315,-17
FR,GB,1997.0,155,143,12
CN,JP,2005.0,379,590,-211
TW,CN,2016.0,1479,842,637
CN,JP,2002.0,305,412,-107
BJ,FR,2007.0,18,25,-7
ZA,CA,2017.0,51,46,5
DE,ES,2001.0,79,72,7
DE,CL,2022.0,31,26,5
CN,MY,2010.0,49,26,23
ES,DE,2000.0,75,63,12
KR,ET,2012.0,100,115,-15
CA,TW,2011.0,41,38,3
AT,US,2011.0,219,233,-14
CH,JP,2021.0,80,59,21
IT,DK,2011.0,43,17,26
BE,CN,2012.0,34,169,-135
CA,BR,2003.0,133,108,25
IR,nan,2022.0,2,1,1
GB,BB,2012.0,6,3,3
CA,BE,2020.0,58,70,-12
nan,RU,2019.0,75,43,32
VG,US,2002.0,6,4,2
IE,FR,2012.0,36,36,0
CO,DE,2019.0,67,31,36
US,TH,2020.0,208,124,84
DK,FR,2007.0,26,44,-18
DE,NG,2019.0,22,17,5
ID,GB,2013.0,27,31,-4
MY,NG,2016.0,91,67,24
PL,GB,2006.0,39,36,3
NL,MY,2017.0,13,13,0
JP,CA,1998.0,78,83,-5
PL,FI,2021.0,9,10,-1
SA,GB,2019.0,117,236,-119
CZ,PL,2015.0,58,50,8
ES,RO,2015.0,21,9,12
ZM,NE,2017.0,1,1,0
RS,MK,2013.0,3,5,-2
BE,NL,1998.0,78,106,-28
NL,ES,1998.0,34,20,14
DE,VN,2015.0,16,11,5
nan,IT,2020.0,86,98,-12
NP,TH,2018.0,5,5,0
SA,US,2017.0,219,287,-68
ES,NL,2002.0,37,36,1
CO,DE,2017.0,33,40,-7
JP,BD,2011.0,84,51,33
SA,US,2010.0,52,122,-70
JP,TH,2011.0,90,55,35
CW,NL,2016.0,36,6,30
PT,GB,2004.0,46,43,3
US,AM,1997.0,4,12,-8
ID,AU,2011.0,17,41,-24
NL,AR,2000.0,3,2,1
CO,DE,2010.0,15,7,8
MA,BD,2019.0,22,24,-2
US,GT,2020.0,6,10,-4
IN,TW,2012.0,43,38,5
IT,EG,2020.0,20,9,11
ET,CA,2020.0,8,8,0
HU,BG,2007.0,1,1,0
MX,SI,2017.0,9,9,0
SN,ZA,2021.0,5,3,2
IL,CA,2007.0,47,37,10
MX,UY,2015.0,17,13,4
IR,KR,2022.0,17,8,9
CN,IL,1998.0,8,10,-2
NL,MY,2010.0,3,5,-2
MA,BD,2017.0,9,9,0
ZA,PT,2013.0,4,2,2
GB,KW,2015.0,19,9,10
ZM,GB,2019.0,9,6,3
DE,DZ,2005.0,1,3,-2
JO,CN,2009.0,2,3,-1
BB,GB,2007.0,2,1,1
EC,BR,2016.0,15,40,-25
FR,SI,2019.0,7,11,-4
LK,ID,2020.0,7,6,1
ES,NL,2005.0,35,53,-18
NL,SE,2011.0,58,46,12
LU,BE,2013.0,13,15,-2
CA,AE,2009.0,17,10,7
HU,BE,2012.0,10,7,3
SG,RS,2017.0,2,1,1
IL,KR,2021.0,7,4,3
SA,MY,2008.0,7,12,-5
VG,CN,2012.0,3,1,2
PL,CN,2020.0,17,25,-8
AR,IN,2015.0,3,3,0
MA,KW,2011.0,9,3,6
CH,LU,2018.0,6,7,-1
SK,IT,2001.0,1,5,-4
NO,OM,2014.0,3,1,2
LK,KR,2013.0,4,1,3
SE,NZ,2000.0,4,4,0
TR,KR,2010.0,4,5,-1
HU,MA,2012.0,7,8,-1
IT,RO,1997.0,3,5,-2
DK,GR,2014.0,6,17,-11
BE,CH,2006.0,47,24,23
NL,UG,2001.0,4,1,3
FR,GF,2005.0,6,5,1
CH,DO,2018.0,1,1,0
BF,FR,2003.0,8,7,1
GR,IT,2009.0,10,21,-11
NO,IE,2004.0,2,1,1
nan,IR,2022.0,1,2,-1
QA,IQ,2020.0,4,12,-8
NZ,IR,2022.0,5,10,-5
EG,PS,2011.0,4,6,-2
AT,HU,2000.0,8,13,-5
GB,CY,2020.0,56,24,32
JP,GH,1998.0,5,1,4
CR,DE,2019.0,3,5,-2
SN,FR,2009.0,29,25,4
NL,SR,2018.0,4,5,-1
UA,CH,2021.0,12,6,6
NO,UG,2014.0,3,3,0
RU,RS,2005.0,6,3,3
US,TG,2020.0,1,1,0
UZ,GB,2014.0,1,2,-1
VE,CU,2018.0,16,12,4
MA,PK,2000.0,3,2,1
FR,PH,2012.0,5,6,-1
LB,nan,2020.0,2,2,0
IT,AU,2023.0,2,6,-4
BE,HR,2018.0,4,6,-2
GB,MZ,2013.0,2,1,1
ID,KE,2012.0,5,2,3
RS,PL,2018.0,8,9,-1
PH,DE,2015.0,8,9,-1
TT,IN,2011.0,1,2,-1
BH,KW,2022.0,3,3,0
CO,SV,2012.0,1,1,0
CU,UY,2005.0,2,1,1
DE,GF,2019.0,1,1,0
CO,IR,2022.0,3,3,0
IQ,IL,2018.0,3,4,-1
FR,SG,2002.0,11,6,5
HU,AE,2015.0,3,2,1
IS,ES,2021.0,2,1,1
NO,PK,2009.0,1,2,-1
FJ,NZ,2000.0,1,1,0
GH,NL,2009.0,2,1,1
VU,CH,2010.0,1,1,0
EE,CH,2010.0,2,7,-5
ZA,CN,2004.0,7,6,1
AF,US,2020.0,3,2,1
US,SK,2022.0,12,10,2
BE,DZ,2009.0,2,1,1
NP,PH,2021.0,2,1,1
AR,NI,2015.0,1,1,0
PL,BD,2015.0,3,1,2
GB,PH,2003.0,6,13,-7
US,DZ,2001.0,1,1,0
CR,CN,2021.0,2,1,1
IT,IS,2022.0,2,1,1
FI,JP,1998.0,8,8,0
PK,SE,2002.0,1,1,0
BJ,SN,2016.0,1,1,0
BD,ES,2008.0,7,12,-5
IE,PH,2001.0,2,1,1
IN,YE,2014.0,3,1,2
EE,IT,2008.0,2,2,0
SV,CL,2018.0,5,3,2
PK,CN,1997.0,4,1,3
IN,SK,2021.0,2,1,1
NO,DK,2023.0,2,7,-5
BA,PK,2020.0,1,1,0
GR,UA,2000.0,1,1,0
EG,NG,2021.0,4,7,-3
MX,TW,2016.0,1,1,0
IT,BY,2003.0,2,2,0
NL,MZ,2000.0,1,1,0
AU,SA,1999.0,3,2,1
AO,IT,2016.0,4,1,3
GR,AT,2005.0,2,2,0
AT,RU,2001.0,4,11,-7
GR,nan,2010.0,2,3,-1
AU,HR,2008.0,2,6,-4
MY,PT,2010.0,3,1,2
MY,SA,2015.0,66,37,29
ZA,FR,2012.0,27,42,-15
TH,FR,2002.0,5,5,0
MY,JP,2018.0,46,80,-34
ZM,GB,2010.0,5,2,3
VN,PL,2023.0,2,2,0
IQ,LB,2016.0,6,8,-2
FR,TZ,2015.0,2,4,-2
OM,PS,2020.0,1,1,0
nan,RU,2017.0,66,28,38
LT,JP,2012.0,8,4,4
CA,,2012.0,5377,0,5377
CN,,2023.0,132521,0,132521
SE,,2024.0,24725,0,24725
,US,2009.0,73589,0,73589
,NL,2008.0,7174,0,7174
,CZ,2011.0,2621,0,2621
NL,,2009.0,2476,0,2476
CO,,2021.0,3895,0,3895
PK,,2020.0,1354,0,1354
